1;100015683925;0001-2;34.5;4;3004
1;100015684588;0001-5;34.5;4;4619
6;100015686456;0006-1;11;4;162
6;100015686816;0006-3;11;4;528
0007;100015688681;0007-6;34.5;;0
0009;100015689202;0009- EMSP 34KV REG 37MVA LTC;34.5;;0
0009;100015689203;0009-FUTURE STA 8132 REG;34.5;;0
0009;100015689204;0009- EMSP 11-4KV 7MVA LTC;11;;0
0049;100015689232;0049-5;34.5;;0
0049;100015689233;0049-6;34.5;;0
0009;100015689234;0009-SPARE;115;;0
14;100015689249;0014-1;11;4;2814
14;100015689289;0014-2;11;4;1828
15;100015689429;0015-1;11;4;2224
15;100015689460;0015-2;11;4;1
16;100015689609;0016-1;11;4;3087
16;100015689650;0016-2;11;4;1804
17;100015689758;0017-1;11;4;2472
17;100015689794;0017-2;11;4;1382
18;100015689884;0018-1;11;4;1627
18;100015689955;0018-2;11;4;172
19;100015690177;0019-1;11;4;934
19;100015690216;0019-2;11;4;954
22;100015690322;0022-1;34.5;4;3159
0023;100015690661;0023-1 GND;11.5;;0
0023;100015690803;0023-2GND;11.5;;0
0023;100015690893;0023-3GND;11.5;;0
0023;100015690945;0023-4GND;11.5;;0
26;100015691530;0026-1;34.5;11;87
29;100015691761;0029-1;34.5;4;2475
29;100015691823;0029-2;34.5;4;2475
29;100015691934;0029-3;34.5;4;3061
33;100015692355;0033-1;34.5;4;1200
33;100015692586;0033-2;34.5;4;1507
0033;100015693160;0033-SPARE;34.5;;0
34;100015693219;0034-2;11;4;560
35;100015693637;0035-1;11;4;977
35;100015693703;0035-2;11;4;1829
36;100015694028;0036-2;34.5;4;2091
37;100015694235;0037-1;11;4;1194
37;100015694274;0037-10;34.5;4;2042
37;100015694479;0037-3;34.5;4;199
38;100015695131;0038-1;11;4;1734
38;100015695274;0038-2;11;4;804
38;100015695324;0038-3;34.5;11;119
38;100015695530;0038-4;34.5;11;3
38;100015695612;0038-5;34.5;11;94
39;100015696087;0039-1;11;4;1146
39;100015696125;0039-2;11;4;2146
40;100015696300;0040-3;34.5;4;2966
40;100015696391;0040-4;34.5;4;776
41;100015696531;0041-1;34.5;4;1922
41;100015696586;0041-2;11;4;2046
42;100015696741;0042-1;34.5;4;1622
42;100015696906;0042-2;34.5;4;1502
42;100015697491;0042-7;34.5;4;2364
43;100015698090;0043-3;34.5;4;3057
43;100015698120;0043-4;34.5;4;3352
45;100015698346;0045-1;34.5;4;2217
46;100015698422;0046-1;34.5;4;3368
46;100015698637;0046-3;34.5;4;3193
47;100015698796;0047-1;11;4;1426
47;100015698835;0047-2;11;4;1032
48;100015698956;0048-1;34.5;4;949
48;100015699202;0048-4;34.5;4;979
49;100015699936;0049-1;34.5;4;3603
49;100015700001;0049-2;34.5;4;2726
50;100015700573;0050-1;11;4;2199
50;100015700619;0050-2;11;4;1299
51;100015700752;0051-1;11;4;1259
53;100015700844;0053-1A-TRANS;34.5;4;1320
53;100015700845;0053-1B;34.5;4;1320
53;100015700846;0053-1C;34.5;4;1320
55;100015700979;0055-2;34.5;12;5150
56;100015701193;0056-3;115;12;4648
58;100015701401;0058-1;34.5;4;1146
60;100015701488;0060-1;34.5;4;498
62;100015701585;0062-3;34.5;4;1661
0060;100015701586;0060-SPARE - FUTURE STA 60;34.5;;0
62;100015701697;0062-4;34.5;4;2141
63;100015701860;0063-1;34.5;4;546
63;100015701913;0063-2;34.5;4;253
64;100015702097;0064-1;34.5;4;1023
65;100015702177;0065-1;34.5;4;1454
65;100015702206;0065-2;34.5;4;839
66;100015702384;0066-1;34.5;;548
66;100015702410;0066-2;34.5;;1437
67;100015702620;0067-1A-TRANS;34.5;4;16
67;100015702621;0067-1B;34.5;4;16
67;100015702640;0067-1C;34.5;4;16
67;100015702695;0067-3;115;12;2834
68;100015703053;0068-1;11;4;831
68;100015703099;0068-2;11;4;1456
69;100015703217;0069-1;115;12;6092
0069;100015703218;0069- EMSP 115-12KV 22MVA;115;;0
70;100015703333;0070-1;115;12;3833
70;100015703360;0070-2;115;12;2766
71;100015703487;0071-1;115;12;1152
71;100015703535;0071-2;115;12;3235
72;100015703691;0072-1;11;4;2446
72;100015703725;0072-2;11;4;920
73;100015703843;0073-1;34.5;4;873
74;100015703927;0074-1;34.5;4;1057
75;100015704021;0075-1;34.5;4;1048
75;100015704057;0075-2;34.5;4;567
76;100015704185;0076-1;34.5;4;896
76;100015704217;0076-2;34.5;4;651
0080;100015704985;0080-MOBILE SUBS;115;;0
Mobile;100015704999;MOBILE 2;45;;0
0080;100015705165;0080-SPARE;360;;0
81;100015705251;0081-1;34.5;4;1862
81;100015705299;0081-2;34.5;4;1194
0082;100015705532;0082- EMSP 34-12 22MVA;34.5;;0
82;100015705695;0082-3;115;12;1605
82;100015705773;0082-4;115;12;1653
