60465058;ERROR:#N/A;INAC INST;;2015;9310-SS0014-002-TRANS;MOBILE 14 -MOBILE 14-T14-TRANS;78000;9310;TRANS=Mobile 14;UE_TRANS;T14;15,000 kVA;200 kV;110 kV;ODAF;CC;0.0 Inch;OIL;0.0 Inch;0.0 Inch;D;;36000-13200;14.20;Y;13.200 kV;13200;0.000 V;0.0 V;LOW SIDE;;;;;
60465109;ERROR:#N/A;INAC INST;;2015;9310-SS0015-002-TRANS;MOBILE 15 -MOBILE 15-T15-TRANS;78000;9310;TRANS=Mobile 15;UE_TRANS;T14;15,000 kVA;200 kV;110 kV;ODAF;CC;0.0 Inch;OIL;0.0 Inch;0.0 Inch;D;;36000-13200;14.20;Y;13.200 kV;13200;0.000 V;0.0 V;LOW SIDE;;;;;
60465110;ERROR:#N/A;INAC INST;;2013;9310-SS0012-007-TRANS;MOBILE 12 -MOBILE 12-T12-TRANS;78000;9310;TRANS=Mobile 12;UE_TRANS;T12;42,000 kVA;450 kV;200 kV;ODAF;CC;0.0 Inch;OIL;0.0 Inch;0.0 Inch;D;;120000-72000X36000X13200;;Y;;36000X13200;0.000 V;0.0 V;;;;;;
60585175;ERROR:#N/A;AVLB;;;;;;9310;TRANS=345 Auto LTC;UE_TRANS;;240,000 kVA;999 kV;450 kV;ONAN/ODAF/ODAF;;;OIL;;;Y;;345000Y/199200 -118000Y/068100;;Y;118.000 kV;;;;;;;;;
62719024;ERROR:#N/A;AVLB DLFL INAC;;;;;;9310;TRANS;UE_TRANS;;10,000 kVA;200 kV;110 kV;ONAN/ONAF;;0.0 Inch;OIL;;0.0 Inch;;;36200/13200;6.91;;13.200 kV;;124.500 V;3.0 V;;;;;;
100013837990;ERROR:#N/A;AVLB;UNOP;2005;;;;9310;trnsf 5000kva 34.5 to 12.47y/7.2 rad stp;UE_TRANS;;5,000 kVA;;;;;;;;;;;;;;;;;;;;;;;
100015683925;6535834;INST;OTHR;1956;9302-SS0001-010-TRANS;0001-2;SCM14000;9302;NON LTC TRANSFORMER;UE_TRANS;;;200 kV;75 kV;;;;;;;;34;;;;;2.5200;;;;;;;;
100015684486;8113698;INST;OTHR;1965;9302-SS0001-129-TRANS;0001-4;SCM14000;9302;NON LTC TRANSFORMER;UE_TRANS;;;200 kV;110 kV;;;;;;;;34;;;;;6.6400;;;;;;;;
100015684588;C-04749-5-1;INST;OTHR;1973;9302-SS0001-151-TRANS;0001-5;SCM14000;9302;LTC TRANSFORMER;UE_TRANS;5;;200 kV;75 kV;;;;;;;;34;;;;;4.3600;121.000 V;2.0 V;;;;;;
100015684896;414738;INAC INST;OTHR MRET;2005;9302-SS0005-032-TRANS;0005-2;SCM14000;9302;NON LTC TRANSFORMER-REMOVED;UE_TRANS;;5,000 kVA;;;;;;;;;;;;;;;2.4000;;;;;;;;
100015685040;3538668;INAC INST;OTHR MRET;2005;9302-SS0005-066-TRANS;0005-3;SCM14000;9302;NON LTC TRANSFORMER-REMOVED;UE_TRANS;;5,000 kVA;;;;;;;;;;;;;;;2.4000;;;;;;;;
100015686456;261505-96;INST;OTHR;1997;9302-SS0006-001-TRANS;0006-1;SCM14000;9302;LTC TRANSFORMER;UE_TRANS;1;;110 kV;75 kV;;;;;;;;11.5;;;;;4.3300;;;;;;;;
100015686816;1796518;INST;OTHR;2005;9302-SS0006-075-TRANS;0006-3;SCM14000;9302;NON LTC TRANSFORMER;UE_TRANS;3;5,000 kVA;;;;;;;;;;11.5;;;;;2.5000;;;;;;;;
100015687711;C-04931-5-2;INST;OTHR;1973;9302-SS0006-308-TRANS;0006-629PS;SCM14000;9302;LTC TRANSFORMER;UE_TRANS;629P;;;;;;;;;;;11.5;;;;;;;;;;;;;
100015688349;ERROR:#N/A;AVLB DLFL INAC;OTHR MRET;2005;;;;9302;NON LTC TRANSFORMER-REMOVED;UE_TRANS;;;;;;;;;;;;;;;;;;;;;;;;;
100015688584;8278165;INST;OTHR;1950;9302-SS0007-434-TRANS;0007-5;SCM14000;9302;NON LTC TRANSFORMER;UE_TRANS;;;200 kV;110 kV;;;;;;;;34.5;;;;;6.6400;;;;;;;;
100015688657;5066303;INST;OTHR;1951;9302-SS0007-460-TRANS;0007-5A;SCM14000;9302;NON LTC TRANSFORMER;UE_TRANS;;;;;;;;;;;;34.5;;;;;;;;;;;;;
100015688681;8284780;INST;OTHR;1949;9302-SS0007-473-TRANS;0007-6;SCM14000;9302;NON LTC TRANSFORMER;UE_TRANS;SPAREXAOBO;;200 kV;110 kV;;;;;;;;34.5;;;;;6.6400;;;;;;;;
100015688965;G1860-01;INST;UNOP;2008;9302-SS0007-693-TRANS;0007-9T;SCM14000;9302;LTC TRANSFORMER;UE_TRANS;;40,000 kVA;450 kV;200 kV;;3 LEG;;MINERAL OIL;;;;115;;;;;;117.500 V;2.0 V;LOW SIDE;;;;;
